Concelho,Nível de Tensão,Ano,Mês,CPEs_Doméstico,CPEs_Iluminação Pública,CPEs_Não Doméstico,CPEs_Outros
Albufeira,"Muito Alta, Alta e Média Tensões",2023,3,0.0,0.0,129.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,4,0.0,0.0,129.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,5,0.0,0.0,129.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,6,0.0,0.0,130.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,7,0.0,0.0,131.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,8,0.0,0.0,131.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,9,0.0,0.0,131.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,10,0.0,0.0,131.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,11,0.0,0.0,131.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,12,0.0,0.0,131.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2024,1,0.0,0.0,131.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2024,2,0.0,0.0,131.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2024,3,0.0,0.0,131.0,0.0
Alcanena,Baixa Tensão,2022,3,6465.0,113.0,1476.0,28.0
Alcanena,Baixa Tensão,2022,4,6467.0,113.0,1475.0,28.0
Alcanena,Baixa Tensão,2022,5,6467.0,113.0,1473.0,28.0
Alcanena,Baixa Tensão,2022,6,6481.0,113.0,1474.0,30.0
Alcanena,Baixa Tensão,2022,7,6485.0,113.0,1476.0,30.0
Alcanena,Baixa Tensão,2022,8,6487.0,113.0,1476.0,29.0
Alcanena,Baixa Tensão,2022,9,6493.0,113.0,1478.0,29.0
Alcanena,Baixa Tensão,2022,10,6492.0,113.0,1480.0,29.0
Alcanena,Baixa Tensão,2022,11,6498.0,113.0,1484.0,29.0
Alcanena,Baixa Tensão,2022,12,6498.0,114.0,1487.0,34.0
Alcanena,Baixa Tensão,2023,1,6505.0,114.0,1480.0,29.0
Alcanena,Baixa Tensão,2023,2,6506.0,114.0,1480.0,29.0
Alcanena,Baixa Tensão,2023,3,6516.0,114.0,1480.0,29.0
Alcanena,Baixa Tensão,2023,4,6516.0,114.0,1480.0,29.0
Alcanena,Baixa Tensão,2023,5,6516.0,114.0,1480.0,29.0
Alcanena,Baixa Tensão,2023,6,6533.0,114.0,1488.0,31.0
Alcanena,Baixa Tensão,2023,7,6534.0,114.0,1488.0,32.0
Alcanena,Baixa Tensão,2023,8,6527.0,114.0,1489.0,32.0
Alcanena,Baixa Tensão,2023,9,6532.0,114.0,1493.0,30.0
Alcanena,Baixa Tensão,2023,10,6535.0,114.0,1501.0,29.0
Alcanena,Baixa Tensão,2023,11,6532.0,114.0,1503.0,29.0
Alcanena,Baixa Tensão,2023,12,6544.0,114.0,1503.0,34.0
Alcanena,Baixa Tensão,2024,1,6544.0,114.0,1503.0,29.0
Alcanena,Baixa Tensão,2024,2,6550.0,115.0,1502.0,27.0
Alcanena,Baixa Tensão,2024,3,6551.0,115.0,1504.0,26.0
Alcanena,"Muito Alta, Alta e Média Tensões",2022,3,0.0,0.0,101.0,0.0
