Concelho,Tipo de Serviço,Ano,Semestre,Ordens Serviço Realizadas (#)
Alcochete,Servico Alteração Contractual,2022,1,178
Alcochete,Servico Alteração Contractual,2022,2,301
Alcochete,Servico Alteração Contractual,2023,1,353
Alcochete,Servico Alteração Contractual,2023,2,344
Alcochete,Servico Alteração Contractual,2024,1,128
Alcochete,Serviço de Corte e Re-Ligação,2022,1,121
Alcochete,Serviço de Corte e Re-Ligação,2022,2,177
Alcochete,Serviço de Corte e Re-Ligação,2023,1,253
Alcochete,Serviço de Corte e Re-Ligação,2023,2,181
Alcochete,Serviço de Corte e Re-Ligação,2024,1,44
Alcoutim,Configuração de EMI,2022,2,64
Alcoutim,Configuração de EMI,2023,1,150
Alcoutim,Configuração de EMI,2023,2,1
Alcoutim,Configuração de EMI,2024,1,1
Alcoutim,Outros,2022,1,1
Alcoutim,REMOTE_ICP_CONFIGURATION,2023,1,5
Alcoutim,REMOTE_ICP_CONFIGURATION,2023,2,1
Alcoutim,Redução de Potência Contratada,2022,1,26
Alcoutim,Redução de Potência Contratada,2022,2,46
Alcoutim,Redução de Potência Contratada,2023,1,52
Alcoutim,Redução de Potência Contratada,2023,2,68
Alcoutim,Redução de Potência Contratada,2024,1,25
Alcoutim,Reposição de Potência Contratada,2022,1,26
Alcoutim,Reposição de Potência Contratada,2022,2,40
Alcoutim,Reposição de Potência Contratada,2023,1,45
Alcoutim,Reposição de Potência Contratada,2023,2,57
Alcoutim,Reposição de Potência Contratada,2024,1,20
Alcoutim,Servico Alteração Contractual,2022,1,13
Alcoutim,Servico Alteração Contractual,2022,2,34
Alcoutim,Servico Alteração Contractual,2023,1,26
Alcoutim,Servico Alteração Contractual,2023,2,40
Alcoutim,Servico Alteração Contractual,2024,1,14
Alcoutim,Serviço de Corte e Re-Ligação,2022,1,26
Alcoutim,Serviço de Corte e Re-Ligação,2022,2,31
Alcoutim,Serviço de Corte e Re-Ligação,2023,1,40
Alcoutim,Serviço de Corte e Re-Ligação,2023,2,22
Alcoutim,Serviço de Corte e Re-Ligação,2024,1,6
Alcácer do Sal,Configuração de EMI,2022,1,20
Alcácer do Sal,Configuração de EMI,2022,2,321
Alcácer do Sal,Configuração de EMI,2023,1,360
Alcácer do Sal,Configuração de EMI,2023,2,34
Alcácer do Sal,Configuração de EMI,2024,1,14
Alcácer do Sal,Outros,2022,2,2
Alcácer do Sal,REMOTE_ICP_CONFIGURATION,2022,2,3
Alcácer do Sal,REMOTE_ICP_CONFIGURATION,2023,1,7
Alcácer do Sal,REMOTE_ICP_CONFIGURATION,2023,2,28
Alcácer do Sal,REMOTE_ICP_CONFIGURATION,2024,1,3
Alcácer do Sal,Redução de Potência Contratada,2022,1,239
Alcácer do Sal,Redução de Potência Contratada,2022,2,356
Alcácer do Sal,Redução de Potência Contratada,2023,1,385
Alcácer do Sal,Redução de Potência Contratada,2023,2,341
Alcácer do Sal,Redução de Potência Contratada,2024,1,128
Alcácer do Sal,Reposição de Potência Contratada,2022,1,215
Alcácer do Sal,Reposição de Potência Contratada,2022,2,331
Alcácer do Sal,Reposição de Potência Contratada,2023,1,357
Alcácer do Sal,Reposição de Potência Contratada,2023,2,303
Alcácer do Sal,Reposição de Potência Contratada,2024,1,113
Alcácer do Sal,Servico Alteração Contractual,2022,1,104
Alcácer do Sal,Servico Alteração Contractual,2022,2,270
Alcácer do Sal,Servico Alteração Contractual,2023,1,186
Alcácer do Sal,Servico Alteração Contractual,2023,2,188
Alcácer do Sal,Servico Alteração Contractual,2024,1,70
Alcácer do Sal,Serviço de Corte e Re-Ligação,2022,1,60
Alcácer do Sal,Serviço de Corte e Re-Ligação,2022,2,97
Alcácer do Sal,Serviço de Corte e Re-Ligação,2023,1,146
Alcácer do Sal,Serviço de Corte e Re-Ligação,2023,2,98
Alcácer do Sal,Serviço de Corte e Re-Ligação,2024,1,40
Alenquer,Configuração de EMI,2022,1,47
Alenquer,Configuração de EMI,2022,2,588
Alenquer,Configuração de EMI,2023,1,1878
Alenquer,Configuração de EMI,2023,2,71
Alenquer,Configuração de EMI,2024,1,24
Alenquer,Outros,2022,1,1
Alenquer,Outros,2023,1,2
Alenquer,REMOTE_ICP_CONFIGURATION,2022,2,6
Alenquer,REMOTE_ICP_CONFIGURATION,2023,1,28
Alenquer,REMOTE_ICP_CONFIGURATION,2023,2,40
Alenquer,REMOTE_ICP_CONFIGURATION,2024,1,3
Alenquer,Redução de Potência Contratada,2022,1,827
Alenquer,Redução de Potência Contratada,2022,2,1370
Alenquer,Redução de Potência Contratada,2023,1,1687
Alenquer,Redução de Potência Contratada,2023,2,1599
Alenquer,Redução de Potência Contratada,2024,1,552
Alenquer,Reposição de Potência Contratada,2022,1,730
Alenquer,Reposição de Potência Contratada,2022,2,1194
Alenquer,Reposição de Potência Contratada,2023,1,1414
Alenquer,Reposição de Potência Contratada,2023,2,1345
Alenquer,Reposição de Potência Contratada,2024,1,400
Alenquer,Servico Alteração Contractual,2022,1,330
Alenquer,Servico Alteração Contractual,2022,2,668
Alenquer,Servico Alteração Contractual,2023,1,681
Alenquer,Servico Alteração Contractual,2023,2,661
Alenquer,Servico Alteração Contractual,2024,1,266
Alenquer,Serviço de Corte e Re-Ligação,2022,1,220
Alenquer,Serviço de Corte e Re-Ligação,2022,2,284
Alenquer,Serviço de Corte e Re-Ligação,2023,1,382
Alenquer,Serviço de Corte e Re-Ligação,2023,2,360
Alenquer,Serviço de Corte e Re-Ligação,2024,1,92
Alfândega da Fé,Configuração de EMI,2022,1,5
Alfândega da Fé,Configuração de EMI,2022,2,121
Alfândega da Fé,Configuração de EMI,2023,1,159
Alfândega da Fé,Configuração de EMI,2023,2,14
Alfândega da Fé,Configuração de EMI,2024,1,5
Alfândega da Fé,Outros,2023,1,1
Alfândega da Fé,REMOTE_ICP_CONFIGURATION,2022,2,2
Alfândega da Fé,REMOTE_ICP_CONFIGURATION,2023,1,4
Alfândega da Fé,REMOTE_ICP_CONFIGURATION,2023,2,7
Alfândega da Fé,Redução de Potência Contratada,2022,1,87
Alfândega da Fé,Redução de Potência Contratada,2022,2,143
Alfândega da Fé,Redução de Potência Contratada,2023,1,163
Alfândega da Fé,Redução de Potência Contratada,2023,2,134
Alfândega da Fé,Redução de Potência Contratada,2024,1,43
Alfândega da Fé,Reposição de Potência Contratada,2022,1,76
Alfândega da Fé,Reposição de Potência Contratada,2022,2,118
Alfândega da Fé,Reposição de Potência Contratada,2023,1,138
Alfândega da Fé,Reposição de Potência Contratada,2023,2,97
Alfândega da Fé,Reposição de Potência Contratada,2024,1,35
Alfândega da Fé,Servico Alteração Contractual,2022,1,25
Alfândega da Fé,Servico Alteração Contractual,2022,2,51
Alfândega da Fé,Servico Alteração Contractual,2023,1,62
Alfândega da Fé,Servico Alteração Contractual,2023,2,66
Alfândega da Fé,Servico Alteração Contractual,2024,1,26
Alfândega da Fé,Serviço de Corte e Re-Ligação,2022,1,41
Alfândega da Fé,Serviço de Corte e Re-Ligação,2022,2,58
Alfândega da Fé,Serviço de Corte e Re-Ligação,2023,1,72
Alfândega da Fé,Serviço de Corte e Re-Ligação,2023,2,56
Alfândega da Fé,Serviço de Corte e Re-Ligação,2024,1,15
Alijó,Configuração de EMI,2022,1,15
Alijó,Configuração de EMI,2022,2,143
Alijó,Configuração de EMI,2023,1,150
Alijó,Configuração de EMI,2023,2,12
Alijó,Configuração de EMI,2024,1,5
Alijó,Outros,2023,1,1
Alijó,REMOTE_ICP_CONFIGURATION,2022,2,1
Alijó,REMOTE_ICP_CONFIGURATION,2023,1,8
Alijó,REMOTE_ICP_CONFIGURATION,2023,2,2
Alijó,REMOTE_ICP_CONFIGURATION,2024,1,1
Alijó,Redução de Potência Contratada,2022,1,85
Alijó,Redução de Potência Contratada,2022,2,174
Alijó,Redução de Potência Contratada,2023,1,168
Alijó,Redução de Potência Contratada,2023,2,160
Alijó,Redução de Potência Contratada,2024,1,61
Alijó,Reposição de Potência Contratada,2022,1,78
Alijó,Reposição de Potência Contratada,2022,2,145
Alijó,Reposição de Potência Contratada,2023,1,129
Alijó,Reposição de Potência Contratada,2023,2,121
Alijó,Reposição de Potência Contratada,2024,1,41
Alijó,Servico Alteração Contractual,2022,1,34
Alijó,Servico Alteração Contractual,2022,2,68
Alijó,Servico Alteração Contractual,2023,1,82
Alijó,Servico Alteração Contractual,2023,2,56
Alijó,Servico Alteração Contractual,2024,1,34
Alijó,Serviço de Corte e Re-Ligação,2022,1,37
