ano,mes,energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_iluminacao_publica_alta_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2022,8,3076599,4883543,6642,0,102,0,1465,146,66,0,12890,2
2022,9,2738775,3900046,6638,0,102,0,1461,146,66,0,12844,2
2022,10,2674382,2915258,6641,0,102,0,1454,146,66,0,13240,2
2022,11,2637224,2481563,6642,0,102,0,1454,146,76,0,12764,2
2022,12,2958027,2242207,6653,0,102,0,1454,146,72,0,13212,2
2023,1,3300636,2637476,6668,0,102,0,1449,146,64,0,13604,2
2023,2,2989383,2438315,6670,0,102,0,1449,147,63,0,13758,2
2023,3,2881720,2789174,6676,0,102,0,1452,147,60,0,13634,2
2023,4,2605482,3105930,6676,0,102,0,1452,147,60,0,13450,2
2023,5,2720814,3378604,6676,0,102,0,1452,147,60,0,13700,2
2023,6,2887485,3489903,6703,0,102,0,1461,148,66,0,13864,2
2023,7,3304439,4407698,6707,0,102,0,1459,149,68,0,13670,2
2023,8,3333352,5269836,6713,0,102,0,1461,150,62,0,14290,2
2023,9,2812151,4622671,6719,0,102,0,1465,150,64,0,14432,2
2023,10,2764141,3147809,6727,0,102,0,1465,148,59,0,14282,4
2023,11,2842280,2649113,6728,0,102,0,1466,148,71,0,14240,4
2023,12,3471196,2602765,6725,0,102,0,1462,148,74,0,14862,4
2024,1,1461255,438694,6744,0,102,0,1462,148,57,0,15154,4
2022,8,6149399,12520614,19888,0,270,0,4232,181,84,0,33202,4
2022,9,6012544,12861812,19918,0,270,0,4232,180,82,0,33120,4
2022,10,6269956,12940024,19921,0,270,0,4241,180,79,0,33924,4
2022,11,6653263,12482668,19931,0,270,0,4256,179,91,0,33508,4
2022,12,7690642,12564698,19936,0,271,0,4255,179,86,0,34472,4
2023,1,8391949,13274643,19967,0,271,0,4253,182,79,0,34880,4
2023,2,7488709,11447775,19983,0,271,0,4257,181,78,0,36408,4
2023,3,6941479,13196064,19990,0,271,0,4253,182,78,0,37614,4
2023,4,5834142,12125816,19990,0,271,0,4252,182,78,0,37146,4
2023,5,5965635,12742307,19990,0,271,0,4252,182,78,0,35714,4
2023,6,5987265,12944518,20044,0,271,0,4281,183,79,0,39010,4
2023,7,6162502,14516812,20066,0,271,0,4283,183,77,0,38616,4
2023,8,6312198,14094080,20084,0,271,0,4286,184,82,0,39600,4
2023,9,6129928,14668338,20102,0,271,0,4292,184,73,0,41060,4
2023,10,6475664,15084669,20122,0,272,0,4309,184,71,0,42030,6
2023,11,6944933,14761267,20145,0,272,0,4315,184,81,0,42646,6
2023,12,8676777,13349544,20170,0,272,0,4320,185,82,0,42844,6
2024,1,3648592,2460901,20201,0,273,0,4326,184,67,0,41980,6
2022,8,899790,88363,3254,0,57,0,811,16,33,0,6742,2
2022,9,747614,103964,3251,0,57,0,819,16,32,0,6808,2
2022,10,759921,112291,3250,0,57,0,815,16,32,0,6764,2
2022,11,855851,132017,3249,0,57,0,814,16,32,0,6738,2
2022,12,974298,152452,3251,0,57,0,811,17,30,0,6900,2
2023,1,1019224,125304,3249,0,57,0,811,17,30,0,6852,2
2023,2,879009,103167,3250,0,57,0,809,16,29,0,6934,2
2023,3,834424,110029,3249,0,57,0,814,16,29,0,6966,2
2023,4,693250,89077,3246,0,57,0,814,16,29,0,6908,2
2023,5,673682,83498,3246,0,57,0,814,16,29,0,6812,2
2023,6,688203,79414,3248,0,57,0,818,16,28,0,6786,2
2023,7,784363,76701,3248,0,57,0,820,16,31,0,6824,2
2023,8,858859,74596,3251,0,57,0,823,16,28,0,6870,2
2023,9,711773,82621,3249,0,57,0,824,16,28,0,6832,2
2023,10,758499,103085,3247,0,57,0,825,16,27,0,6786,2
2023,11,858728,167598,3246,0,57,0,828,16,27,0,6190,2
2023,12,1080824,218642,3244,0,57,0,827,16,26,0,6656,2
2024,1,379421,46752,3244,0,57,0,829,16,25,0,7008,2
2022,8,1589946,853237,7451,0,93,0,1499,45,28,0,6960,2
2022,9,1568068,1006906,7454,0,94,0,1502,45,22,0,6620,2
2022,10,1778649,675188,7446,0,94,0,1500,45,22,0,6946,2
2022,11,1929712,526017,7438,0,94,0,1497,45,23,0,6872,2
2022,12,2139779,501989,7438,0,95,0,1499,45,21,0,7062,2
2023,1,2221737,536596,7441,0,95,0,1502,46,21,0,7238,2
2023,2,1918118,465619,7454,0,95,0,1508,46,21,0,7350,2
2023,3,1880252,509682,7457,0,95,0,1513,46,21,0,7388,2
2023,4,1575933,482878,7457,0,95,0,1513,46,21,0,7346,2
2023,5,1519673,545522,7457,0,95,0,1513,46,21,0,6728,2
2023,6,1493796,590486,7463,0,95,0,1519,46,23,0,6562,2
2023,7,1625277,669772,7471,0,95,0,1516,46,22,0,6830,2
2023,8,1696271,874761,7476,0,95,0,1522,46,23,0,6994,2
2023,9,1564595,1025857,7476,0,95,0,1523,46,21,0,6636,2
2023,10,1680672,676013,7480,0,95,0,1521,46,21,0,7114,2
2023,11,1849811,544703,7467,0,95,0,1522,46,22,0,6760,2
2023,12,2239229,564895,7456,0,95,0,1526,46,22,0,6812,2
2024,1,968837,118685,7456,0,95,0,1527,46,23,0,7274,2
2022,8,1921776,240255,5339,0,121,0,941,18,28,0,4152,2
2022,9,1809744,216090,5337,0,121,0,941,18,27,0,3578,2
2022,10,1830404,222572,5335,0,123,0,944,19,29,0,3990,2
2022,11,1830007,210823,5343,0,123,0,951,19,29,0,4398,2
2022,12,1952849,210975,5348,0,124,0,954,19,26,0,4596,2
2023,1,2113557,174078,5354,0,124,0,956,19,24,0,5376,2
2023,2,1933912,191019,5354,0,124,0,956,19,25,0,5550,2
2023,3,1945574,214491,5352,0,124,0,957,19,24,0,5906,2
2023,4,1692889,213575,5352,0,124,0,957,19,24,0,5906,2
2023,5,1684079,220522,5352,0,124,0,957,19,24,0,6218,2
2023,6,1662803,223662,5397,0,124,0,961,19,22,0,6802,2
2023,7,1832093,242211,5412,0,124,0,964,19,21,0,7238,2
2023,8,1932245,268408,5415,0,124,0,968,19,20,0,6652,2
2023,9,1773711,241027,5426,0,124,0,970,19,19,0,7320,2
2023,10,1824979,240595,5429,0,124,0,973,20,23,0,7796,2
2023,11,1881559,223689,5430,0,125,0,974,20,21,0,8286,2
2023,12,2167074,235233,5438,0,125,0,976,20,23,0,8500,2
2024,1,948920,46201,5442,0,125,0,976,20,23,0,7956,2
2022,8,1886515,14982740,4898,0,60,0,977,61,31,0,6970,2
2022,9,1633606,15586892,4905,0,60,0,979,61,29,0,7006,2
2022,10,1573934,14999179,4907,0,60,0,976,61,28,0,6570,2
2022,11,1564117,15339113,4908,0,60,0,977,61,29,0,7200,2
2022,12,1775318,14563686,4909,0,60,0,977,61,29,0,7162,2
2023,1,2005231,14887996,4915,0,60,0,978,61,28,0,7106,2
2023,2,1809353,14382109,4920,0,60,0,976,61,28,0,7862,2
2023,3,1776107,16253851,4919,0,60,0,977,61,28,0,7792,2
2023,4,1674829,16913354,4919,0,60,0,977,61,28,0,7890,2
2023,5,1790472,17990129,4919,0,60,0,977,61,28,0,7558,2
2023,6,1851936,13325907,4923,0,60,0,980,63,32,0,8080,2
