concelho,ano,mes,inclui_mobilidade_eletrica,cpes_com_dcs_recolhidos_quantidade
Alcobaça,2024,2,Sim,6
Alcobaça,2024,3,Não,29227
Alcobaça,2024,3,Sim,5
Alcobaça,2024,4,Não,29347
Alcobaça,2024,4,Sim,5
Alcochete,2022,8,Não,7585
Alcochete,2022,8,Sim,2
Alcochete,2022,9,Não,7278
Alcochete,2022,9,Sim,2
Alcochete,2022,10,Não,7677
Alcochete,2022,10,Sim,2
Alcochete,2022,11,Não,7647
Alcochete,2022,11,Sim,2
Alcochete,2022,12,Não,7617
Alcochete,2022,12,Sim,3
Alcochete,2023,1,Não,7244
Alcochete,2023,1,Sim,3
Alcochete,2023,2,Não,7769
Alcochete,2023,2,Sim,4
Alcochete,2023,3,Não,7475
Alcochete,2023,3,Sim,4
Alcochete,2023,4,Não,8001
Alcochete,2023,4,Sim,4
Alcochete,2023,5,Não,7649
Alcochete,2023,5,Sim,4
Alcochete,2023,6,Não,7895
Alcochete,2023,6,Sim,3
Alcochete,2023,7,Não,7905
Alcochete,2023,7,Sim,4
Alcochete,2023,8,Não,7939
Alcochete,2023,8,Sim,5
Alcochete,2023,9,Não,7798
Alcochete,2023,9,Sim,6
Alcochete,2023,10,Não,7593
Alcochete,2023,10,Sim,7
Alcochete,2023,11,Não,7712
Alcochete,2023,11,Sim,7
Alcochete,2023,12,Não,7953
Alcochete,2023,12,Sim,7
Alcochete,2024,1,Não,7934
Alcochete,2024,1,Sim,8
Alcochete,2024,2,Não,8345
Alcochete,2024,2,Sim,8
Alcochete,2024,3,Não,8412
Alcochete,2024,3,Sim,9
Alcochete,2024,4,Não,8513
Alcochete,2024,4,Sim,9
Alcoutim,2022,8,Não,1778
Alcoutim,2022,8,Sim,2
Alcoutim,2022,9,Não,1673
Alcoutim,2022,9,Sim,2
Alcoutim,2022,10,Não,1836
Alcoutim,2022,10,Sim,2
Alcoutim,2022,11,Não,1890
Alcoutim,2022,11,Sim,2
Alcoutim,2022,12,Não,1899
Alcoutim,2022,12,Sim,2
Alcoutim,2023,1,Não,1894
Alcoutim,2023,1,Sim,2
Alcoutim,2023,2,Não,1899
Alcoutim,2023,2,Sim,2
Alcoutim,2023,3,Não,1957
Alcoutim,2023,3,Sim,2
Alcoutim,2023,4,Não,2022
Alcoutim,2023,4,Sim,2
Alcoutim,2023,5,Não,2046
Alcoutim,2023,5,Sim,2
Alcoutim,2023,6,Não,2080
Alcoutim,2023,6,Sim,2
Alcoutim,2023,7,Não,2104
Alcoutim,2023,7,Sim,2
Alcoutim,2023,8,Não,2039
Alcoutim,2023,8,Sim,2
Alcoutim,2023,9,Não,2138
Alcoutim,2023,9,Sim,2
Alcoutim,2023,10,Não,2134
Alcoutim,2023,10,Sim,2
Alcoutim,2023,11,Não,2133
Alcoutim,2023,11,Sim,2
Alcoutim,2023,12,Não,2289
Alcoutim,2023,12,Sim,2
Alcoutim,2024,1,Não,2340
Alcoutim,2024,1,Sim,2
Alcoutim,2024,2,Não,2383
Alcoutim,2024,2,Sim,2
Alcoutim,2024,3,Não,2442
Alcoutim,2024,3,Sim,2
Alcoutim,2024,4,Não,2446
Alcoutim,2024,4,Sim,2
Alcácer do Sal,2022,8,Não,6445
Alcácer do Sal,2022,8,Sim,1
Alcácer do Sal,2022,9,Não,6422
Alcácer do Sal,2022,9,Sim,1
Alcácer do Sal,2022,10,Não,6620
Alcácer do Sal,2022,10,Sim,1
Alcácer do Sal,2022,11,Não,6382
Alcácer do Sal,2022,11,Sim,1
Alcácer do Sal,2022,12,Não,6606
Alcácer do Sal,2022,12,Sim,1
Alcácer do Sal,2023,1,Não,6802
Alcácer do Sal,2023,1,Sim,1
Alcácer do Sal,2023,2,Não,6879
Alcácer do Sal,2023,2,Sim,1
Alcácer do Sal,2023,3,Não,6817
Alcácer do Sal,2023,3,Sim,1
Alcácer do Sal,2023,4,Não,6725
Alcácer do Sal,2023,4,Sim,1
Alcácer do Sal,2023,5,Não,6850
Alcácer do Sal,2023,5,Sim,1
Alcácer do Sal,2023,6,Não,6932
Alcácer do Sal,2023,6,Sim,1
Alcácer do Sal,2023,7,Não,6835
Alcácer do Sal,2023,7,Sim,1
Alcácer do Sal,2023,8,Não,7145
Alcácer do Sal,2023,8,Sim,1
Alcácer do Sal,2023,9,Não,7216
Alcácer do Sal,2023,9,Sim,1
Alcácer do Sal,2023,10,Não,7141
Alcácer do Sal,2023,10,Sim,2
Alcácer do Sal,2023,11,Não,7120
Alcácer do Sal,2023,11,Sim,2
Alcácer do Sal,2023,12,Não,7431
Alcácer do Sal,2023,12,Sim,2
Alcácer do Sal,2024,1,Não,7577
Alcácer do Sal,2024,1,Sim,2
Alcácer do Sal,2024,2,Não,7675
Alcácer do Sal,2024,2,Sim,2
Alcácer do Sal,2024,3,Não,7511
Alcácer do Sal,2024,3,Sim,2
Alcácer do Sal,2024,4,Não,7563
Alcácer do Sal,2024,4,Sim,2
Alenquer,2022,8,Não,16601
