energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
714166,0,36,0,188,0,102
739249,0,36,0,188,0,102
780753,0,36,0,188,0,102
808977,0,37,0,188,0,102
822112,0,37,0,188,0,102
850061,0,38,0,188,0,102
847322,0,38,0,188,0,102
935476,0,38,0,188,0,102
894922,0,38,0,188,0,102
892413,0,38,0,188,0,102
40401382,0,250,8,420,7,553
50237966,0,250,0,420,7,553
46124512,0,250,0,420,7,553
51197763,0,251,0,420,7,553
46980266,0,252,0,420,7,553
51311340,0,252,0,420,7,553
45580631,0,253,0,420,7,553
53128383,0,252,0,420,7,553
47188950,0,252,0,420,7,553
49633924,0,252,0,420,7,553
46426421,0,252,0,420,7,553
47430388,0,252,0,420,7,553
38902557,0,253,0,420,7,553
50493157,0,253,0,420,7,553
52552544,0,254,0,420,7,553
44726134,0,254,0,420,7,553
45578044,0,254,0,420,7,553
3972386,0,71,0,6,0,20
3372101,0,71,0,6,0,20
1704286,0,71,0,6,0,20
1546816,0,71,0,6,0,20
1700199,0,71,0,6,0,20
1292003,0,71,0,6,0,20
932085,0,71,0,6,0,20
1630261,0,71,0,6,0,20
2035436,0,71,0,6,0,20
3285005,0,71,0,6,0,20
3455828,0,71,0,6,0,20
3506378,0,71,0,6,0,20
4174985,0,71,0,6,0,20
3333369,0,71,0,6,0,20
2175448,0,71,0,6,0,20
1362450,0,71,0,6,0,20
1185985,0,71,0,6,0,20
12178856,0,133,0,84,0,102
11195992,0,134,0,84,0,102
10115215,0,134,0,84,0,102
9080574,0,134,0,84,0,102
8797902,0,134,0,84,0,102
9107586,0,134,0,84,0,102
8502858,0,134,0,84,0,102
9102222,0,135,0,84,0,102
8624420,0,135,0,84,0,102
9226103,0,135,0,84,0,102
9333365,0,136,0,84,0,102
10856483,0,136,0,84,0,102
12361266,0,136,0,84,0,102
11108599,0,137,0,84,0,102
10206351,0,137,0,84,0,102
9382993,0,137,0,84,0,102
8792342,0,137,0,84,0,102
393434,0,26,0,99,0,74
377909,0,26,0,99,0,74
374183,0,26,0,99,0,74
351657,0,26,0,99,0,74
375654,0,26,0,99,0,74
413169,0,26,0,99,0,74
365654,0,26,0,99,0,74
396938,0,25,0,99,0,74
345051,0,25,0,99,0,74
370115,0,25,0,99,0,74
391942,0,26,0,99,0,74
374529,0,26,0,99,0,74
354951,0,25,0,99,0,74
371507,0,25,0,99,0,74
387899,0,25,0,99,0,74
383122,0,25,0,99,0,74
410072,0,25,0,99,0,74
13911853,0,375,20,308,4,2531
15756410,0,375,20,308,4,2531
17797094,0,377,20,308,4,2531
17030375,0,376,20,308,4,2531
15793823,0,376,20,308,4,2531
17688974,0,377,20,308,4,2531
15258365,0,377,20,308,4,2531
16992372,0,376,20,308,4,2531
14757477,0,376,20,308,4,2531
15148157,0,376,20,308,4,2531
15450549,0,377,0,308,4,2531
16059173,0,378,0,308,4,2531
13253286,0,378,0,308,4,2531
14672056,0,378,0,308,4,2531
17893182,0,381,0,308,4,2531
17784985,0,381,0,308,4,2531
15908874,0,382,0,308,4,2531
171228,0,10,0,9,0,8
139077,0,10,0,9,0,8
136425,0,10,0,9,0,8
122134,0,10,0,9,0,8
121784,0,10,0,9,0,8
128589,0,10,0,9,0,8
120616,0,10,0,9,0,8
135547,0,10,0,9,0,8
140506,0,10,0,9,0,8
160200,0,10,0,9,0,8
170153,0,10,0,9,0,8
189066,0,10,0,9,0,8
178301,0,10,0,9,0,8
153191,0,10,0,9,0,8
141641,0,10,0,9,0,8
120165,0,10,0,9,0,8
122138,0,10,0,9,0,8
7993233,0,66,0,2165,1,183
7438074,0,66,0,2165,1,183
7241283,0,66,0,2165,1,183
7067506,0,66,0,2165,1,183
6450806,0,66,0,2165,1,183
6764526,0,66,0,2165,1,183
6284611,0,67,0,2165,1,183
6419083,0,65,0,2165,1,183
6045651,0,65,0,2165,1,183
6334343,0,65,0,2165,1,183
6933872,0,65,0,2165,1,183
7149953,0,65,0,2165,1,183
6599635,0,65,0,2165,1,183
6892547,0,65,0,2165,1,183
7335027,0,65,0,2165,1,183
6925637,0,65,0,2165,1,183
6398306,0,65,0,2165,1,183
3458758,0,98,0,154,15,204
3910120,0,99,0,154,15,204
4317816,0,99,0,154,15,204
4303212,0,99,0,154,15,204
3680323,0,99,0,154,15,204
4228975,0,99,0,154,15,204
3730842,0,99,0,154,15,204
4116101,0,99,0,154,15,204
3569314,0,99,0,154,15,204
3650113,0,99,0,154,15,204
3655777,0,99,0,154,15,204
3637432,0,99,0,154,15,204
3038855,0,99,0,154,15,204
3711713,0,99,0,154,15,204
4144315,0,99,0,154,15,204
3976897,0,100,0,154,15,204
3483315,0,100,0,154,15,204
39961829,0,218,0,29,0,180
30651707,0,218,0,29,0,180
32736433,0,218,0,29,0,180
33099119,0,218,0,29,0,180
32923169,0,217,0,29,0,180
30234952,0,217,0,29,0,180
29402116,0,217,0,29,0,180
34406368,0,217,0,29,0,180
34680160,0,217,0,29,0,180
