energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
758244,4433,101,776,3,4866,2,10
678060,4433,101,776,3,5182,2,10
670881,4433,101,776,3,5368,2,10
680252,4444,101,784,4,5698,2,10
789956,4448,101,785,5,6198,2,10
863928,4450,101,788,4,6320,2,10
738434,4448,101,787,4,6686,2,10
760467,4451,101,787,4,7100,2,10
795451,4445,101,789,4,7766,2,10
896921,4446,101,789,6,8036,2,10
868170,4441,101,790,4,8362,2,10
286788,4434,101,790,4,8680,2,10
9995124,25123,340,6681,276,32098,4,543
9646886,25149,340,6662,271,31616,4,543
10431306,25169,340,6665,267,32290,4,543
11239027,25207,340,6663,270,32918,6,543
12673685,25223,340,6674,266,33948,6,543
13570017,25263,340,6685,253,34700,6,543
11721340,25300,340,6692,249,36056,6,543
11693743,25335,340,6696,242,37408,6,543
9865849,25335,340,6696,242,38140,6,543
9876959,25335,340,6696,242,38876,8,543
9882669,25411,341,6738,245,40218,8,543
10280024,25448,341,6760,228,41342,8,543
10120368,25470,341,6762,222,41712,8,543
9800566,25514,341,6754,215,42488,8,543
10873463,25544,341,6760,211,44946,8,543
12019494,25573,342,6776,219,49922,10,543
14312063,25586,342,6785,218,50446,8,543
14124608,25631,342,6788,203,51056,10,543
4621442,25635,342,6789,201,52694,10,543
1422369,5547,113,822,49,3482,2,63
1293304,5547,113,824,46,3542,2,63
1358945,5547,113,824,46,4142,2,63
1440519,5551,113,823,49,4224,2,63
1604481,5554,113,823,49,4304,2,63
1659905,5557,113,823,40,4552,2,63
1440477,5558,113,826,42,4652,2,63
1468385,5557,113,826,44,4760,2,63
1286414,5558,113,826,44,4962,2,63
1268069,5558,113,826,44,5968,2,63
1243131,5564,113,828,53,6174,2,63
1366334,5567,113,831,60,6782,2,63
1446576,5572,113,830,51,6820,2,63
1308881,5578,113,830,51,6996,2,63
1411786,5583,113,830,45,6642,2,63
1538051,5582,113,830,48,7040,2,63
1768464,5580,113,832,50,6970,2,63
1746380,5581,113,834,45,7270,2,63
576884,5579,113,835,44,7558,2,63
8540037,19243,262,5947,206,14098,4,786
8358521,19257,262,5949,200,14052,2,786
9113144,19285,262,5952,193,14606,4,786
9942871,19310,262,5949,194,15200,4,786
11326318,19335,262,5956,201,15478,6,786
11994568,19351,262,5972,195,15876,6,786
10235510,19361,263,5974,199,16556,6,786
10420057,19373,263,5982,199,18290,6,786
8789158,19373,263,5982,199,20338,6,786
8694605,19373,263,5982,199,22178,6,786
8555475,19476,264,6023,255,23666,8,786
8823896,19506,264,6017,211,24478,8,786
8446700,19527,264,6028,198,25550,8,786
8383267,19533,264,6025,195,26890,8,786
9544072,19577,264,6034,202,29570,6,786
10684476,19596,264,6038,201,30370,10,786
12353871,19617,265,6036,208,31320,10,786
12407856,19660,265,6049,199,33788,12,786
3962096,19680,265,6048,198,34280,14,786
681571,2979,66,752,14,1654,2,27
627130,2982,66,751,15,1650,2,27
642129,2985,66,749,14,1820,2,27
667079,2985,66,747,12,1992,2,27
748106,2985,66,745,14,2028,2,27
809261,2985,66,746,12,2338,2,27
709280,2988,66,746,13,2460,2,27
678798,2990,66,743,12,2594,2,27
581018,2990,66,743,12,2658,2,27
576174,2990,66,743,12,2810,2,27
585147,2995,66,754,5,3294,2,27
652413,2994,66,752,4,3644,2,27
682200,2992,66,751,5,3684,2,27
621560,2991,66,749,4,3726,2,27
