energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
0.000688389,0.003248,0.0057,0.00818,0.0028,0.006786,0.002,0.0013
0.000784487,0.003248,0.0057,0.0082,0.0031,0.006824,0.002,0.0013
0.000858996,0.003251,0.0057,0.00823,0.0028,0.00687,0.002,0.0013
0.000711977,0.003249,0.0057,0.00824,0.0028,0.006832,0.002,0.0013
0.000762033,0.003247,0.0057,0.00825,0.0027,0.006786,0.002,0.0013
0.000864242,0.003246,0.0057,0.00828,0.0027,0.00619,0.002,0.0013
0.001095152,0.003244,0.0057,0.00827,0.0026,0.006656,0.002,0.0013
0.001590407,0.007451,0.0093,0.01499,0.0028,0.00696,0.002,0.0035
0.001569119,0.007454,0.0094,0.01502,0.0022,0.00662,0.002,0.0035
0.001783096,0.007446,0.0094,0.015,0.0022,0.006946,0.002,0.0035
0.001934273,0.007438,0.0094,0.01497,0.0023,0.006872,0.002,0.0035
0.0021431,0.007438,0.0095,0.01499,0.0021,0.007062,0.002,0.0035
0.002224467,0.007441,0.0095,0.01502,0.0021,0.007238,0.002,0.0035
0.001920994,0.007454,0.0095,0.01508,0.0021,0.00735,0.002,0.0035
0.001882895,0.007457,0.0095,0.01513,0.0021,0.007388,0.002,0.0035
0.001580637,0.007457,0.0095,0.01513,0.0021,0.007346,0.002,0.0035
0.001528924,0.007457,0.0095,0.01513,0.0021,0.006728,0.002,0.0035
0.001505816,0.007463,0.0095,0.01519,0.0023,0.006562,0.002,0.0035
0.001637187,0.007471,0.0095,0.01516,0.0022,0.00683,0.002,0.0035
0.001711405,0.007476,0.0095,0.01522,0.0023,0.006994,0.002,0.0035
0.001582106,0.007476,0.0095,0.01523,0.0021,0.006636,0.002,0.0035
0.00170085,0.00748,0.0095,0.01521,0.0021,0.007114,0.002,0.0035
0.001869789,0.007467,0.0095,0.01522,0.0022,0.00676,0.002,0.0035
0.002249648,0.007456,0.0095,0.01526,0.0022,0.006812,0.002,0.0035
0.001921474,0.005339,0.0121,0.00941,0.0028,0.004152,0.002,0.0019
