energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
0.00199989,0,51,0,75,0,33
0.002018465,0,51,0,75,0,33
0.001677719,0,51,0,75,0,33
0.000956977,0,51,0,75,0,33
0.001104206,0,50,0,75,0,33
0.001291676,0,50,0,75,0,33
0.002274726,0,50,0,75,0,33
0.002394656,0,50,0,75,0,33
0.002631148,0,50,0,75,0,33
0.002881766,0,51,0,75,0,33
0.002503724,0,51,0,75,0,33
0.002006964,0,51,0,75,0,33
0.002079852,0,51,0,75,0,33
0.001710975,0,51,0,75,0,33
0.000335418,0,27,0,9,0,14
0.00028443,0,27,0,9,0,14
0.000268508,0,27,0,9,0,14
0.000278901,0,27,0,9,0,14
0.000351229,0,27,0,9,0,14
0.00027485,0,27,0,9,0,14
0.000279454,0,27,0,9,0,14
0.000307959,0,27,0,9,0,14
0.000293745,0,27,0,9,0,14
0.000284899,0,27,0,9,0,14
0.000280727,0,27,0,9,0,14
0.000325422,0,27,0,9,0,14
0.0003045,0,27,0,9,0,14
0.000258393,0,27,0,9,0,14
0.000257105,0,27,0,9,0,14
0.00025663,0,27,0,9,0,14
0.000292759,0,27,0,9,0,14
0.000140771,0,16,0,39,1,60
0.000147236,0,16,0,39,1,60
0.000157841,0,16,0,39,1,60
0.00015414,0,16,0,39,1,60
0.000155369,0,16,0,39,1,60
0.000168463,0,17,0,39,1,60
0.000135302,0,17,0,39,1,60
0.00015656,0,17,0,39,1,60
0.000152957,0,17,0,39,1,60
0.000168364,0,17,0,39,1,60
0.00016578,0,17,0,39,1,60
0.000167849,0,17,0,39,1,60
0.000166389,0,17,0,39,1,60
0.000174871,0,17,0,39,1,60
0.000180352,0,17,0,39,1,60
0.000171844,0,17,0,39,1,60
0.000176524,0,17,0,39,1,60
0.000735138,0,33,0,9,0,16
0.000539029,0,33,0,9,0,16
0.000417393,0,33,0,9,0,16
0.000452614,0,33,0,9,0,16
0.000412734,0,33,0,9,0,16
0.000289935,0,33,0,9,0,16
0.000400328,0,34,0,9,0,16
0.000534734,0,35,0,9,0,16
0.000577884,0,35,0,9,0,16
0.000603754,0,35,0,9,0,16
0.000797352,0,41,0,9,0,16
0.000991232,0,43,0,9,0,16
0.000808603,0,43,0,9,0,16
0.00076594,0,44,0,9,0,16
0.000619664,0,44,0,9,0,16
0.000444812,0,44,0,9,0,16
0.000365062,0,44,0,9,0,16
0.019978619,0,133,0,7310,1,423
0.019215277,0,133,0,7310,1,423
0.019114265,0,133,0,7310,1,423
0.018224446,0,133,0,7310,1,423
0.01857755,0,133,0,7310,1,423
0.018858195,0,133,0,7310,1,423
0.016691214,0,133,0,7310,1,423
0.018317944,0,133,0,7310,1,423
0.017369949,0,133,0,7310,1,423
0.019079612,0,133,0,7310,1,423
0.018911451,0,133,0,7310,1,423
0.019872872,0,133,0,7310,1,423
0.020051807,0,133,0,7310,1,423
0.019019284,0,133,0,7310,1,423
0.019375792,0,133,0,7310,1,423
0.018093754,0,133,0,7310,1,423
0.018191843,0,133,0,7310,1,423
0.002445344,0,119,0,173,3,427
0.00218326,0,119,0,173,3,427
0.002367167,0,119,0,173,3,427
0.002296461,0,119,0,173,3,427
0.002313503,0,121,0,173,3,427
0.002503744,0,121,0,173,3,427
0.002207543,0,122,0,173,3,427
0.002384466,0,122,0,173,3,427
0.00207455,0,123,0,173,3,427
0.002265956,0,123,0,173,3,427
0.002304294,0,123,0,173,3,427
0.002361393,0,123,0,173,3,427
0.002312408,0,124,0,173,3,427
0.002186669,0,124,0,173,3,427
0.00241434,0,126,0,173,3,427
0.002410418,0,126,0,173,3,427
0.002310389,0,126,0,173,3,427
0.000989995,0,34,0,232,0,120
0.000973499,0,34,0,232,0,120
0.000979224,0,34,0,232,0,120
0.000889949,0,34,0,232,0,120
0.00088941,0,34,0,232,0,120
0.001018056,0,34,0,232,0,120
0.000932041,0,34,0,232,0,120
0.001020964,0,35,0,232,0,120
0.000923672,0,35,0,232,0,120
0.000942914,0,35,0,232,0,120
0.000914817,0,36,0,232,0,120
0.00090345,0,36,0,232,0,120
0.000855043,0,36,0,232,0,120
0.00087158,0,36,0,232,0,120
0.000975975,0,36,0,232,0,120
0.000950062,0,36,0,232,0,120
0.000913669,0,36,0,232,0,120
0.006257324,0,120,0,128,0,384
0.006800294,0,120,0,128,0,384
0.006845376,0,120,0,128,0,384
0.00646686,0,119,0,128,0,384
0.006289274,0,119,0,128,0,384
0.006646072,0,119,0,128,0,384
0.005834129,0,120,0,128,0,384
0.006337156,0,120,0,128,0,384
0.005356645,0,120,0,128,0,384
0.005892187,0,120,0,128,0,384
0.005713022,0,120,0,128,0,384
0.005321412,1,120,0,128,0,384
0.004532154,1,120,0,128,0,384
0.005385656,1,120,0,128,0,384
0.00576493,1,120,0,128,0,384
0.005630956,1,120,0,128,0,384
0.004678842,1,120,0,128,0,384
0.001209272,0,57,0,66,10,91
0.001539566,0,57,0,66,10,91
0.001649161,0,57,0,66,10,91
0.001555155,0,57,0,66,10,91
0.001126187,0,57,0,66,10,91
0.00160804,0,57,0,66,10,91
0.001532873,0,58,0,66,10,91
0.001571387,0,58,0,66,10,91
0.001380533,0,58,0,66,10,91
