ano,mes,energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
2023,9,0.00 - 3349844.95,0,19,0,19,1,39
2023,10,0.00 - 3349844.95,0,20,0,19,1,39
2023,11,0.00 - 3349844.95,0,20,0,19,1,39
2023,12,0.00 - 3349844.95,0,20,0,19,1,39
2022,8,9260857.23 - 18073778.11,0,61,0,19,2,54
2022,9,9260857.23 - 18073778.11,0,61,0,19,2,54
2022,10,9260857.23 - 18073778.11,0,61,0,19,2,54
2022,11,9260857.23 - 18073778.11,0,61,0,19,2,54
2022,12,9260857.23 - 18073778.11,0,61,0,19,2,54
2023,1,9260857.23 - 18073778.11,0,61,0,19,2,54
2023,2,9260857.23 - 18073778.11,0,61,0,19,2,54
2023,3,9260857.23 - 18073778.11,0,61,0,19,2,54
2023,4,9260857.23 - 18073778.11,0,61,0,19,2,54
2023,5,9260857.23 - 18073778.11,0,61,0,19,2,54
2023,6,9260857.23 - 18073778.11,0,63,0,19,2,54
2023,7,18073778.11 - 27864901.18,0,64,0,19,2,54
2023,8,9260857.23 - 18073778.11,0,66,0,19,2,54
2023,9,9260857.23 - 18073778.11,0,66,0,19,2,54
2023,10,9260857.23 - 18073778.11,0,66,0,19,2,54
2023,11,9260857.23 - 18073778.11,0,66,0,19,2,54
2023,12,9260857.23 - 18073778.11,0,66,0,19,2,54
2022,8,9260857.23 - 18073778.11,0,130,0,2544,4,469
2022,9,9260857.23 - 18073778.11,0,130,0,2544,4,469
2022,10,9260857.23 - 18073778.11,0,130,0,2544,4,469
2022,11,9260857.23 - 18073778.11,0,132,0,2544,4,469
2022,12,9260857.23 - 18073778.11,0,133,0,2544,4,469
2023,1,9260857.23 - 18073778.11,0,133,0,2544,4,469
2023,2,9260857.23 - 18073778.11,0,134,0,2544,4,469
2023,3,9260857.23 - 18073778.11,0,132,0,2544,4,469
2023,4,9260857.23 - 18073778.11,0,132,0,2544,4,469
2023,5,9260857.23 - 18073778.11,0,132,0,2544,4,469
2023,6,9260857.23 - 18073778.11,0,131,0,2544,4,469
2023,7,9260857.23 - 18073778.11,0,131,0,2544,4,469
2023,8,9260857.23 - 18073778.11,0,131,0,2544,4,469
2023,9,9260857.23 - 18073778.11,0,131,0,2544,4,469
2023,10,9260857.23 - 18073778.11,0,131,0,2544,4,469
2023,11,9260857.23 - 18073778.11,0,130,0,2544,4,469
2023,12,9260857.23 - 18073778.11,0,130,0,2544,4,469
2022,8,0.00 - 3349844.95,0,37,0,11,3,22
2022,9,0.00 - 3349844.95,0,37,0,11,3,22
2022,10,0.00 - 3349844.95,0,37,0,11,3,22
2022,11,0.00 - 3349844.95,0,37,0,11,3,22
2022,12,0.00 - 3349844.95,0,37,0,11,3,22
2023,1,0.00 - 3349844.95,0,37,0,11,3,22
2023,2,0.00 - 3349844.95,0,37,0,11,3,22
2023,3,0.00 - 3349844.95,0,37,0,11,3,22
2023,4,0.00 - 3349844.95,0,37,0,11,3,22
2023,5,0.00 - 3349844.95,0,37,0,11,3,22
2023,6,0.00 - 3349844.95,0,37,0,11,3,22
2023,7,0.00 - 3349844.95,0,37,0,11,3,22
2023,8,0.00 - 3349844.95,0,37,0,11,3,22
2023,9,0.00 - 3349844.95,0,37,0,11,3,22
2023,10,0.00 - 3349844.95,0,37,0,11,3,22
2023,11,0.00 - 3349844.95,0,37,0,11,3,22
2023,12,0.00 - 3349844.95,0,37,0,11,3,22
2022,8,3349844.95 - 9260857.23,0,66,0,101,0,101
2022,9,0.00 - 3349844.95,0,66,0,101,0,101
2022,10,0.00 - 3349844.95,0,66,0,101,0,101
2022,11,0.00 - 3349844.95,0,66,0,101,0,101
2022,12,0.00 - 3349844.95,0,66,0,101,0,101
2023,1,0.00 - 3349844.95,0,66,0,101,0,101
2023,2,0.00 - 3349844.95,0,66,0,101,0,101
2023,3,0.00 - 3349844.95,0,66,0,101,0,101
2023,4,0.00 - 3349844.95,0,66,0,101,0,101
2023,5,0.00 - 3349844.95,0,66,0,101,0,101
2023,6,0.00 - 3349844.95,0,67,0,101,0,101
2023,7,0.00 - 3349844.95,0,67,0,101,0,101
2023,8,3349844.95 - 9260857.23,0,66,0,101,0,101
2023,9,0.00 - 3349844.95,0,66,0,101,0,101
2023,10,0.00 - 3349844.95,0,66,0,101,0,101
2023,11,0.00 - 3349844.95,0,66,0,101,0,101
2023,12,0.00 - 3349844.95,0,66,0,101,0,101
2022,8,0.00 - 3349844.95,0,20,0,9,0,33
2022,9,0.00 - 3349844.95,0,20,0,9,0,33
2022,10,0.00 - 3349844.95,0,20,0,9,0,33
2022,11,0.00 - 3349844.95,0,20,0,9,0,33
2022,12,0.00 - 3349844.95,0,20,0,9,0,33
2023,1,0.00 - 3349844.95,0,20,0,9,0,33
2023,2,0.00 - 3349844.95,0,20,0,9,0,33
2023,3,0.00 - 3349844.95,0,20,0,9,0,33
2023,4,0.00 - 3349844.95,0,20,0,9,0,33
2023,5,0.00 - 3349844.95,0,20,0,9,0,33
2023,6,0.00 - 3349844.95,0,20,0,9,0,33
2023,7,0.00 - 3349844.95,0,19,0,9,0,33
2023,8,0.00 - 3349844.95,0,19,0,9,0,33
2023,9,0.00 - 3349844.95,0,19,0,9,0,33
2023,10,0.00 - 3349844.95,0,19,0,9,0,33
2023,11,0.00 - 3349844.95,0,19,0,9,0,33
2023,12,0.00 - 3349844.95,0,19,0,9,0,33
2022,8,0.00 - 3349844.95,0,50,0,75,0,33
2022,9,0.00 - 3349844.95,0,50,0,75,0,33
2022,10,0.00 - 3349844.95,0,51,0,75,0,33
2022,11,0.00 - 3349844.95,0,51,0,75,0,33
2022,12,0.00 - 3349844.95,0,51,0,75,0,33
2023,1,0.00 - 3349844.95,0,51,0,75,0,33
2023,2,0.00 - 3349844.95,0,51,0,75,0,33
2023,3,0.00 - 3349844.95,0,50,0,75,0,33
2023,4,0.00 - 3349844.95,0,50,0,75,0,33
2023,5,0.00 - 3349844.95,0,50,0,75,0,33
2023,6,0.00 - 3349844.95,0,50,0,75,0,33
2023,7,0.00 - 3349844.95,0,50,0,75,0,33
2023,8,0.00 - 3349844.95,0,51,0,75,0,33
2023,9,0.00 - 3349844.95,0,51,0,75,0,33
2023,10,0.00 - 3349844.95,0,51,0,75,0,33
2023,11,0.00 - 3349844.95,0,51,0,75,0,33
2023,12,0.00 - 3349844.95,0,51,0,75,0,33
2022,8,0.00 - 3349844.95,0,27,0,9,0,14
2022,9,0.00 - 3349844.95,0,27,0,9,0,14
2022,10,0.00 - 3349844.95,0,27,0,9,0,14
2022,11,0.00 - 3349844.95,0,27,0,9,0,14
2022,12,0.00 - 3349844.95,0,27,0,9,0,14
2023,1,0.00 - 3349844.95,0,27,0,9,0,14
2023,2,0.00 - 3349844.95,0,27,0,9,0,14
2023,3,0.00 - 3349844.95,0,27,0,9,0,14
2023,4,0.00 - 3349844.95,0,27,0,9,0,14
2023,5,0.00 - 3349844.95,0,27,0,9,0,14
2023,6,0.00 - 3349844.95,0,27,0,9,0,14
2023,7,0.00 - 3349844.95,0,27,0,9,0,14
2023,8,0.00 - 3349844.95,0,27,0,9,0,14
2023,9,0.00 - 3349844.95,0,27,0,9,0,14
2023,10,0.00 - 3349844.95,0,27,0,9,0,14
2023,11,0.00 - 3349844.95,0,27,0,9,0,14
2023,12,0.00 - 3349844.95,0,27,0,9,0,14
2022,8,0.00 - 3349844.95,0,16,0,39,1,60
2022,9,0.00 - 3349844.95,0,16,0,39,1,60
2022,10,0.00 - 3349844.95,0,16,0,39,1,60
2022,11,0.00 - 3349844.95,0,16,0,39,1,60
2022,12,0.00 - 3349844.95,0,16,0,39,1,60
2023,1,0.00 - 3349844.95,0,17,0,39,1,60
2023,2,0.00 - 3349844.95,0,17,0,39,1,60
2023,3,0.00 - 3349844.95,0,17,0,39,1,60
2023,4,0.00 - 3349844.95,0,17,0,39,1,60
2023,5,0.00 - 3349844.95,0,17,0,39,1,60
2023,6,0.00 - 3349844.95,0,17,0,39,1,60
2023,7,0.00 - 3349844.95,0,17,0,39,1,60
2023,8,0.00 - 3349844.95,0,17,0,39,1,60
2023,9,0.00 - 3349844.95,0,17,0,39,1,60
