Ano;Semestre;CodConcelho;Concelho;Pedidos de Ligação à Rede Executados (#)
2022;1;0308;Guimarães;2.0
2022;1;1106;Lisboa;3.0
2022;1;1305;Lousada;1.0
2022;1;1109;Mafra;1.0
2022;1;1010;Marinha Grande;1.0
2022;1;0407;Mirandela;1.0
2022;1;1506;Moita;1.0
2022;1;1213;Ponte de Sôr;2.0
2022;1;1414;Rio Maior;1.0
2022;1;0109;Santa Maria da Feira;1.0
2022;1;1510;Seixal;3.0
2022;1;1608;Valença;2.0
2022;1;1609;Viana do Castelo;2.0
2022;1;1114;Vila Franca de Xira;2.0
2022;1;0816;Vila Real de Santo António;1.0
2022;1;1316;Vila do Conde;2.0
2022;1;0101;Águeda;1.0
2022;2;1301;Amarante;1.0
2022;2;0303;Braga;2.0
2022;2;1602;Caminha;2.0
2022;2;1105;Cascais;2.0
2022;2;1007;Castanheira de Pêra;1.0
2022;2;1703;Chaves;1.0
2022;2;0603;Coimbra;1.0
2022;2;0503;Covilhã;1.0
2022;2;1805;Lamego;1.0
2022;2;1108;Lourinhã;2.0
2022;2;0405;Macedo de Cavaleiros;1.0
2022;2;1308;Matosinhos;2.0
2022;2;1011;Nazaré;12.0
2022;2;1110;Oeiras;4.0
2022;2;1015;Pombal;2.0
2022;2;1016;Porto de Mós;1.0
2022;2;0912;Seia;2.0
2022;2;1512;Setúbal;2.0
2022;2;1111;Sintra;1.0
2022;2;1418;Tomar;5.0
2022;2;1419;Torres Novas;1.0
2022;2;1318;Trofa;1.0
2022;2;1315;Valongo;1.0
2022;2;0411;Vimioso;1.0
2022;2;1823;Viseu;2.0
2023;1;1301;Amarante;1.0
2023;1;0105;Aveiro;1.0
2023;1;0205;Beja;1.0
2023;1;0501;Belmonte;1.0
2023;1;0503;Covilhã;2.0
2023;1;0704;Estremoz;2.0
2023;1;1304;Gondomar;1.0
2023;1;0907;Guarda;1.0
2023;1;1009;Leiria;2.0
2023;1;1010;Marinha Grande;2.0
2023;1;1308;Matosinhos;4.0
2023;1;0408;Mogadouro;1.0
2023;1;0610;Montemor-o-Velho;1.0
2023;1;1011;Nazaré;3.0
2023;1;0810;Olhão;2.0
2023;1;0613;Penacova;1.0
2023;1;1015;Pombal;1.0
2023;1;0116;São João da Madeira;1.0
2023;1;1418;Tomar;4.0
2023;1;1113;Torres Vedras;5.0
2023;1;1318;Trofa;1.0
2023;1;1714;Vila Real;5.0
2023;1;0705;Évora;1.0
2023;2;1502;Alcochete;1.0
2023;2;1101;Alenquer;1.0
2023;2;0302;Barcelos;1.0
2023;2;0502;Castelo Branco;1.0
2023;2;1703;Chaves;1.0
2023;2;0108;Estarreja;2.0
2023;2;0704;Estremoz;2.0
2023;2;0308;Guimarães;1.0
2023;2;1305;Lousada;1.0
2023;2;0810;Olhão;1.0
2023;2;0912;Seia;1.0
2023;2;1821;Tondela;1.0
2023;2;0705;Évora;1.0
2024;1;1001;Alcobaça;1.0
2024;1;1501;Alcácer do Sal;1.0
2024;1;1101;Alenquer;1.0
2024;1;0601;Arganil;1.0
2024;1;1006;Caldas da Rainha;1.0
2024;1;0605;Figueira da Foz;1.0
2024;1;0308;Guimarães;1.0
2024;1;1106;Lisboa;3.0
2024;1;1107;Loures;1.0
2024;1;1108;Lourinhã;1.0
2024;1;1308;Matosinhos;1.0
2024;1;0610;Montemor-o-Velho;1.0
2024;1;1110;Oeiras;1.0
2024;1;0810;Olhão;2.0
2024;1;1214;Portalegre;2.0
2024;1;0508;Proença-a-Nova;2.0
2024;1;1415;Salvaterra de Magos;1.0
2024;1;1418;Tomar;1.0
2024;1;1318;Trofa;1.0
2024;1;1315;Valongo;2.0
2024;1;0713;Viana do Alentejo;4.0
2024;1;1114;Vila Franca de Xira;1.0
2024;1;1317;Vila Nova de Gaia;1.0
2024;1;0510;Vila de Rei;1.0
2024;1;1823;Viseu;1.0
