energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,12.51 - 28.31
2983911.75 - 6866211.91,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,12.51 - 28.31
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,53.43 - 81.89,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,12.51 - 28.31
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,53.43 - 81.89,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,0.00 - 3353532.66,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,22924.60 - 32321.75,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,218.69 - 308.75,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,218.69 - 308.75,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,218.69 - 308.75,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,81.89 - 111.81,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,111.81 - 143.91,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,111.81 - 143.91,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
12252934.51 - 18464831.15,3353532.66 - 9317038.68,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,111.81 - 143.91,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,12.51 - 28.31
6866211.91 - 12252934.51,0.00 - 3353532.66,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,111.81 - 143.91,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,28.31 - 47.28
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,8292.53 - 16488.92,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,218.69 - 308.75,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
6866211.91 - 12252934.51,3353532.66 - 9317038.68,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
2983911.75 - 6866211.91,0.00 - 3353532.66,14844.51 - 22924.60,0.00 - 0.54,299.03 - 355.01,3135.72 - 5235.35,194.04 - 255.24,148.16 - 218.69,0.00 - 27.46,16488.92 - 29385.43,3.87 - 12.51
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,3353532.66 - 9317038.68,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,111.81 - 143.91,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,1556.31 - 3135.72,28.52 - 53.43,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
6866211.91 - 12252934.51,72220494.36 - 80429035.37,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,0.00 - 3.87
6866211.91 - 12252934.51,62644871.22 - 72220494.36,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,0.00 - 3.87
6866211.91 - 12252934.51,62644871.22 - 72220494.36,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,0.00 - 3.87
6866211.91 - 12252934.51,54151023.47 - 62644871.22,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,0.00 - 3.87
6866211.91 - 12252934.51,62644871.22 - 72220494.36,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,62644871.22 - 72220494.36,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,54151023.47 - 62644871.22,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,62644871.22 - 72220494.36,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,62644871.22 - 72220494.36,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,62644871.22 - 72220494.36,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,62644871.22 - 72220494.36,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,62644871.22 - 72220494.36,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,62644871.22 - 72220494.36,40878.28 - 47539.03,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,29385.43 - 46318.89,3.87 - 12.51
6866211.91 - 12252934.51,54151023.47 - 62644871.22,32321.75 - 40878.28,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,3.87 - 12.51
6866211.91 - 12252934.51,62644871.22 - 72220494.36,40878.28 - 47539.03,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,3.87 - 12.51
6866211.91 - 12252934.51,54151023.47 - 62644871.22,40878.28 - 47539.03,0.00 - 0.54,355.01 - 407.69,7947.00 - 11173.19,143.91 - 194.04,148.16 - 218.69,0.00 - 27.46,46318.89 - 66111.12,3.87 - 12.51
